district_mukim,avg_floorsm,rental_2021,rental_2022,location,types,source
Bandar Bukit Beruntung,56,,600,Hulu Selangor,SINGLE STOREY LOW - COST TERRACE,2022/SELANGOR
Bandar Bukit Sentosa,66,,558 - 600,Hulu Selangor,SINGLE STOREY LOW - COST TERRACE,2022/SELANGOR
Bandar Utama Batang Kali,55,,600,Hulu Selangor,SINGLE STOREY LOW - COST TERRACE,2022/SELANGOR
Taman Idaman,60,,600,Hulu Selangor,SINGLE STOREY LOW - COST TERRACE,2022/SELANGOR
Taman Tasik Teratai,60,,750,Hulu Selangor,SINGLE STOREY LOW - COST TERRACE,2022/SELANGOR
Seksyen 24 Shah Alam,57,950 - 1000,900 - 1000,Petaling,SINGLE STOREY MEDIUM - COST TERRACE,2022/SELANGOR
Bandar Baru Sungai Buloh,74,750 - 850,750 - 850,Petaling,SINGLE STOREY MEDIUM - COST TERRACE,2022/SELANGOR
Taman Sri Sentosa,75,700 - 800,750 - 900,Klang,SINGLE STOREY MEDIUM - COST TERRACE,2022/SELANGOR
Taman Tasik Teratai,60,,750,Hulu Selangor,SINGLE STOREY MEDIUM - COST TERRACE,2022/SELANGOR
"Bandar Rinching, Semenyih",84,700  -  750,700  -  750,Hulu Langat,SINGLE STOREY MEDIUM - COST TERRACE,2022/SELANGOR
Taman Kantan Permai,90,750,750,Hulu Langat,SINGLE STOREY MEDIUM - COST TERRACE,2022/SELANGOR
Taman Seri Nanding,59,800,800,Hulu Langat,SINGLE STOREY MEDIUM - COST TERRACE,2022/SELANGOR
Taman Putra Perdana,125,1100 - 1250,950 - 1300,Sepang,SINGLE STOREY MEDIUM - COST TERRACE,2022/SELANGOR
Bandar Baru Sri Damansara,72,1300 - 1500,1300 - 1500,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
Bandar Setia Alam,80,1200 - 1300,1100 - 1300,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
Kampung Baru Sungai Buloh,85,850 - 1000,900 - 1000,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
Kampung Melayu Subang,60,700 - 850,700 - 800,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
Perumahan Kinrara,70,1000 - 1300,1000 - 1200,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
"Seksyen 14, Petaling Jaya",85,1800 - 2000,1800 - 2000,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
"Seksyen 17, Petaling Jaya",89,1500 - 1600,1400 - 1600,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
"Seksyen 51A, Petaling Jaya",93,1400 - 1500,1400 - 1500,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
"Seksyen 20, Petaling Jaya",115,1700 - 1800,1650 - 1800,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
Seksyen 2 Shah Alam,82,1000 - 1300,1100 - 1200,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
Seksyen 10 Shah Alam,82,1400 - 1500,1300 - 1500,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
Seksyen 17 Shah Alam,56,1000 - 1300,1000 - 1300,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
Seksyen 18 Shah Alam,92,1000 - 1300,1000 - 1250,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
Seksyen 27 Shah Alam,82,950 - 1000,950 - 1100,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
SS 2 Petaling Jaya,84,1600 - 1800,1600 - 1700,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
SS 3 Petaling Jaya,97,1600 - 1800,1600 - 1800,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
SS 5 Petaling Jaya,121,1500 - 1600,1500 - 1600,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
SS 12 Subang Jaya                     ,87,1300 - 1700,1300 - 1700,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
SS 14 Subang Jaya,96.62,1300 - 1600,1300 - 1500,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
SS 19 Subang Jaya                     ,55,1000 - 1100,1000 - 1100,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Puchong Indah,80,1000 - 1250,1000 - 1300,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Saujana Puchong,80,1000 - 1200,1000 - 1200,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Kinrara Sek 1 & Sek 2,89,1000 - 1200,1000 - 1200,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Sri Serdang,78,1000 - 1200,1000 - 1200,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Puncak Jalil,89,1000 - 1400,1000 - 1300,Petaling,SINGLE STOREY TERRACE,2022/SELANGOR
Bandar Bukit Raja,71, 1050 - 1300,1100 - 1400,Klang,SINGLE STOREY TERRACE,2022/SELANGOR
Bandar Putera 2,75,900 -1100,900 - 1200,Klang,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Desa Utama ,84,,900 - 1500,Klang,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Desawan,71,1000 - 1200,1100 - 1300,Klang,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Klang Jaya,70,1100 - 1300,1100 - 1200,Klang,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Sentosa,74,,850 - 1100,Klang,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Sri Andalas,70,,1100 - 1400,Klang,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Sungai Kapar Indah,74,,1000 - 1100,Klang,SINGLE STOREY TERRACE,2022/SELANGOR
Bandar Baru Selayang,84,,1200,Gombak,SINGLE STOREY TERRACE,2022/SELANGOR
Bandar Tasik Puteri,92,,800,Gombak,SINGLE STOREY TERRACE,2022/SELANGOR
Desa Jaya,100,,1100 - 1400,Gombak,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Bukit Rawang Jaya,80,,800 - 900,Gombak,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Ehsan,100,,1200,Gombak,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Garing Utama,85,,600,Gombak,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Melawati ,89,600,600,Gombak,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Pelangi,75,,800,Gombak,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Permata,99,600,600,Gombak,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Setia Rawang,80,,750,Gombak,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Sri Melati,91,1000 - 1200,1000 - 1300,Gombak,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Velox,65,,400 - 750,Gombak,SINGLE STOREY TERRACE,2022/SELANGOR
Alamanda Parkland,94.94,750,750 - 850,Hulu Selangor,SINGLE STOREY TERRACE,2022/SELANGOR
Bandar Utama Batang Kali,102,,800,Hulu Selangor,SINGLE STOREY TERRACE,2022/SELANGOR
Bukit Sentosa,75,,500 - 600,Hulu Selangor,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Ampang Jaya,129,1700,1700,Hulu Langat,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Cheras Perdana                      ,71,1200,1200,Hulu Langat,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Desa Anggerik,83,850,850,Hulu Langat,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Desa Baiduri,77,700,700,Hulu Langat,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Mesra Kajang,90,1100,1100,Hulu Langat,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Minang                              ,75,970,970,Hulu Langat,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Pelangi Semenyih                    ,86,800  -  850,800  -  850,Hulu Langat,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Seri Tanjung,141,1000,1000,Hulu Langat,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Desa Damai,74,450 - 500,500,Sepang,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Kota Warisan,70,900 - 1500,1100 - 1500,Sepang,SINGLE STOREY TERRACE,2022/SELANGOR
"Taman Pantai Sepang Putra, Sungai Pelek",136,650,650,Sepang,SINGLE STOREY TERRACE,2022/SELANGOR
"Taman Pinggiran Cyber, Cyberjaya",85,1200 - 1350,1300 - 1400,Sepang,SINGLE STOREY TERRACE,2022/SELANGOR
"Taman Salak Idaman, Salak Tinggi",66,850 - 1150,850 - 1150,Sepang,SINGLE STOREY TERRACE,2022/SELANGOR
"Taman Warisan Bestari, Sepang",90,1100 - 1300,1000 - 1300,Sepang,SINGLE STOREY TERRACE,2022/SELANGOR
Bandar Saujana Putra,70,1200 - 1300,1200 - 1400,Kuala Langat,SINGLE STOREY TERRACE,2022/SELANGOR
"Taman Pahlawan, Teluk Panglima Garang",60,700 - 1000,700 - 1000,Kuala Langat,SINGLE STOREY TERRACE,2022/SELANGOR
Taman Ixora,110,1200,1200,Sepang,ONE AND HALF STOREY TERRACE,2022/SELANGOR
Seksyen 17 Shah Alam,62,850 - 1000,900 - 1000,Petaling,DOUBLE STOREY LOW - COST TERRACE,2022/SELANGOR
Seksyen 18 Shah Alam,62,1000 - 1300,1000 - 1250,Petaling,DOUBLE STOREY LOW - COST TERRACE,2022/SELANGOR
Taman Sri Buloh,64,600 - 650,600 - 700,Petaling,DOUBLE STOREY LOW - COST TERRACE,2022/SELANGOR
Pandamaran Jaya,63,900,900 - 1000,Klang,DOUBLE STOREY LOW - COST TERRACE,2022/SELANGOR
Taman Velox,65,500,500,Gombak,DOUBLE STOREY LOW - COST TERRACE,2022/SELANGOR
Taman Bangi Indah,67,450,450,Hulu Langat,DOUBLE STOREY LOW - COST TERRACE,2022/SELANGOR
"Taman Lingkaran Nur, Kajang",53,650,650,Hulu Langat,DOUBLE STOREY LOW - COST TERRACE,2022/SELANGOR
Taman Tasik Semenyih,70,650,650,Hulu Langat,DOUBLE STOREY LOW - COST TERRACE,2022/SELANGOR
"Taman Aman, Banting",62,600,600,Kuala Langat,DOUBLE STOREY LOW - COST TERRACE,2022/SELANGOR
Seksyen 19 Shah Alam,56,1100 - 1200,1100 - 1200,Petaling,DOUBLE STOREY MEDIUM - COST TERRACE,2022/SELANGOR
Taman Sri Buloh,116,650 - 750,650 - 750,Petaling,DOUBLE STOREY MEDIUM - COST TERRACE,2022/SELANGOR
Taman Klang Utama,114,1000 - 1150,950 - 1200,Klang,DOUBLE STOREY MEDIUM - COST TERRACE,2022/SELANGOR
Taman Selayang Utama,88,,900 - 1400,Gombak,DOUBLE STOREY MEDIUM - COST TERRACE,2022/SELANGOR
Taman Sri Gombak Fasa 8 & 9,90,,700,Gombak,DOUBLE STOREY MEDIUM - COST TERRACE,2022/SELANGOR
Taman Sri Gombak,75,1050,1000 - 1200,Gombak,DOUBLE STOREY MEDIUM - COST TERRACE,2022/SELANGOR
Taman Selayang Jaya,80,700 - 1300,800 - 1200,Gombak,DOUBLE STOREY MEDIUM - COST TERRACE,2022/SELANGOR
Bandar Bukit Beruntung,92,,700 - 850,Hulu Selangor,DOUBLE STOREY MEDIUM - COST TERRACE,2022/SELANGOR
Bukit Sentosa,85,,500 - 600,Hulu Selangor,DOUBLE STOREY MEDIUM - COST TERRACE,2022/SELANGOR
Taman Putra Perdana,125,1100,1100,Sepang,DOUBLE STOREY MEDIUM - COST TERRACE,2022/SELANGOR
"Alam Budiman, U10                   ",167,1200 - 1500,1200 - 1500,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Bandar Bukit Puchong,136,1500 - 1900,1500 - 1800,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Bandar Metro Puchong,153,1500 - 1800,1500 - 1800,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Bandar Puteri,181,1700 - 2000,1600 - 2000,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Bandar Puteri Puchong,153,1450 - 2000,1500 - 2000,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Bandar Puchong Jaya,87,1000 - 1300,1100 - 1300,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
,140,1300 - 1800,1300 - 1800,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Bandar Setia Alam,160,1200 - 2000,1200 - 2000,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Bandar Sri Damansara,153,1500 - 2000,1500 - 2000,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
"Bukit Jelutong Shah Alam, U8",195,1600 - 2800,1600 - 2600,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Bandar Utama,183,2200 - 2600,2300 - 2500,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Denai Alam,200,1500 - 2000,1500 - 2000,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Elmina East,217,1500 - 2000,1500 - 2000,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Elmina West,198,1500 - 2000,1500 - 2000,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Mutiara Damansara,177,2300 - 3000,2400 - 2700,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Perumahan Kinrara,173,1500 - 2000,1500 - 2000,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Putra Heights,156,1200 - 2000,1300 - 2000,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
SS 2 Petaling Jaya,160,2000 - 2400,2500 - 2300,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
"Seksyen 17, Petaling Jaya",156,2000 - 2200,2000 - 2200,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
"Seksyen 19, Petaling Jaya",150,1800 - 2000,1800 - 2000,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
"Seksyen 8, Petaling Jaya",128,1600 - 2000,1600 - 2000,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
SS 20 Petaling Jaya,155,1800 - 2000,1800 - 2000,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
SS 22 Petaling Jaya,178,2200 - 2700,2200 - 2500,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
SS 26 Taman Mayang,186,1700 - 2000,1600 - 2000,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Taman Puchong Perdana,102,1100 - 1500,1100 - 1500,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Taman Puchong Prima,121,1100 - 1300,1200 - 1300,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Taman Puchong Utama,100,1200 - 1400,1200 - 1300,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Taman Saujana Puchong,133,1000 - 1200,1000 - 1200,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Taman Puchong Prima,153,1000 - 1300,1000 - 1300,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Taman Lestari Puchong,123,1100 - 1500,1100 - 1500,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Pusat Bandar Puchong,125,1300 - 1700,1300 - 1700,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Seksyen 7 Shah Alam,165,1500 - 2000,1400 - 2000,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Seksyen 13 Shah Alam,172,2000 - 2500,2000 - 2500,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Seksyen 16 Shah Alam,120,1900 - 2000,1700 - 2000,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
TTDI Jaya                            ,109,1300 - 2000,1300 - 1900,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Seksyen 19 Shah Alam,133,1500 - 2000,1500 - 2000,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Seksyen 27 Shah Alam,111,1200 - 1400,1200 - 1500,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Seksyen 24 Shah Alam,133,1200 - 1500,1200 - 1500,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Shah Alam Utama (U12),116,1500 - 2000,1500 - 2000,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Subang Bestari (U5),157,1200 - 2000,1200 - 2000,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Sunway Alam Suria ,157,1500 - 1700,1500 - 1800,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Taman Bukit Serdang ,136,1000 - 1400,1000 - 1400,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
"Taman Lestari Perdana, Petaling",119,1200 - 1400,1200 - 1400,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Taman Lestari Puchong,123,1100 - 1500,1100 - 1500,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Taman Pinggiran Putra - Seksyen 2,106,1000 - 1300,1100 - 1300,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Taman Puncak Jalil,130,1200 - 1600,1200 - 1500,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Taman Sungai Besi Indah,127,1000 - 1200,1000 - 1200,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
Taman Universiti Indah,123,1200 - 1500,1200 - 1500,Petaling,DOUBLE STOREY TERRACE,2022/SELANGOR
USJ 1,116,1500 - 2000,1500 - 2000,Petaling,USJ 1,2022/SELANGOR
USJ 2,144.39,1200 - 1500,1200 - 1500,Petaling,USJ 2,2022/SELANGOR
USJ 11 ,141,1200 - 2000,1300 - 2000,Petaling,USJ 11 ,2022/SELANGOR
USJ 3,128,1300 - 2000,1300 - 2000,Petaling,USJ 3,2022/SELANGOR
USJ 4,142,1500 - 2000,1500 - 2000,Petaling,USJ 4,2022/SELANGOR
USJ 5,152,1500 - 2000,1500 - 2000,Petaling,USJ 5,2022/SELANGOR
USJ 6,106,1400 - 1900,1400 - 2000,Petaling,USJ 6,2022/SELANGOR
USJ 9,142,1500 - 2000,1500 - 2000,Petaling,USJ 9,2022/SELANGOR
USJ 12,103,1200 - 2000,1300 - 2000,Petaling,USJ 12,2022/SELANGOR
USJ 13,111,1200 - 1500,1200 - 1500,Petaling,USJ 13,2022/SELANGOR
USJ 16,143,1500 - 2000,1500 - 2000,Petaling,USJ 16,2022/SELANGOR
USJ 18,149,1600 - 2000,1500 - 2000,Petaling,USJ 18,2022/SELANGOR
USJ 20,151,1300 - 2000,1300 - 2000,Petaling,USJ 20,2022/SELANGOR
SS 14 Subang Jaya,117,1300 - 2000,1300 - 2000,Petaling,USJ 20,2022/SELANGOR
SS 15 Subang Jaya,159,2000 - 2500,2000 - 2500,Petaling,USJ 20,2022/SELANGOR
SS 18 Subang Jaya                     ,115,1500 - 2000,1500 - 2000,Petaling,USJ 20,2022/SELANGOR
SS 19 Subang Jaya                     ,115,1200 - 1500,1200 - 1500,Petaling,USJ 20,2022/SELANGOR
Alam Impian,160,1600 - 1800,1500 - 2000,Klang,USJ 20,2022/SELANGOR
Ambang Botanic,150,1700 - 2000,1500 - 2300,Klang,USJ 20,2022/SELANGOR
Bandar Botanic,131,1500 - 1800,1500 - 2000,Klang,USJ 20,2022/SELANGOR
Bandar Bukit Raja,157,1600 -2100,1500 - 2500,Klang,USJ 20,2022/SELANGOR
Bandar Bukit Tinggi,143,1300 - 1400,1300 - 1500,Klang,USJ 20,2022/SELANGOR
Bandar Parkland,160,1200 - 1350,1300 - 1500,Klang,USJ 20,2022/SELANGOR
Bandar Putera 2,155,1200 - 1400,1200 - 1500,Klang,USJ 20,2022/SELANGOR
Bandar Puteri,150,1200 - 1400,1300 - 1500,Klang,USJ 20,2022/SELANGOR
Kemuning Utama,189,1700 - 1900,1800 - 1900,Klang,USJ 20,2022/SELANGOR
Kota Bayuemas,150,1300 - 1550,1500 - 1600,Klang,USJ 20,2022/SELANGOR
Kota Kemuning,144,1600 - 1700,1500 - 2000,Klang,USJ 20,2022/SELANGOR
Sungai Kapar Indah,140,1200 - 1300,1200 - 1400,Klang,USJ 20,2022/SELANGOR
Taman Bayu Perdana                        ,160,1200 - 1500,1200 - 1800,Klang,USJ 20,2022/SELANGOR
Taman Desawan,121,,1600 - 1900,Klang,USJ 20,2022/SELANGOR
Bandar Puncak Alam,100,1000 - 1200,950 - 1250,Kuala Selangor,USJ 20,2022/SELANGOR
Desa Coalfield,140,900 - 1200,900 - 1300,Kuala Selangor,USJ 20,2022/SELANGOR
Saujana Utama,140,1000,1000 - 1300,Kuala Selangor,USJ 20,2022/SELANGOR
Sri Pristana,130,1100 - 1200,1100 - 1200,Kuala Selangor,USJ 20,2022/SELANGOR
Bandar Baru Kundang,108,800,700 - 800,Gombak,USJ 20,2022/SELANGOR
Bandar Baru Selayang,110,,1200,Gombak,USJ 20,2022/SELANGOR
Bandar Country Homes,132,1000 - 1300,1000 - 1300,Gombak,USJ 20,2022/SELANGOR
,95,800 - 850,700 - 1000,Gombak,USJ 20,2022/SELANGOR
Bandar Tasik Puteri,149,900 - 1000,850 - 1200,Gombak,USJ 20,2022/SELANGOR
,120,750 - 900,750 - 1000,Gombak,USJ 20,2022/SELANGOR
,192,,900 - 1100,Gombak,USJ 20,2022/SELANGOR
Bukit Rahman Putra,146,1200 - 1500,1300 - 1500,Gombak,USJ 20,2022/SELANGOR
Gamuda Garden,200,,1900 - 2200,Gombak,USJ 20,2022/SELANGOR
Gombak Ria,130,,1650,Gombak,USJ 20,2022/SELANGOR
Kota Emerald,136,1100 - 1500,1100 - 1500,Gombak,USJ 20,2022/SELANGOR
,192,,1300 - 1700,Gombak,USJ 20,2022/SELANGOR
Kota Puteri,142,,500 - 650,Gombak,USJ 20,2022/SELANGOR
,130,500,500,Gombak,USJ 20,2022/SELANGOR
Kundang Jaya,136,,1000 - 1300,Gombak,USJ 20,2022/SELANGOR
Lembah Keramat (AU5C & AU5D),135,,1800 - 2000,Gombak,USJ 20,2022/SELANGOR
M. Residence,192,1100 - 1500,1200 - 1400,Gombak,USJ 20,2022/SELANGOR
,128,,900,Gombak,USJ 20,2022/SELANGOR
,153,1000,1000,Gombak,USJ 20,2022/SELANGOR
M. Residence 2,157,1100 - 1300,900 - 1300,Gombak,USJ 20,2022/SELANGOR
,128,900,900,Gombak,USJ 20,2022/SELANGOR
,180,900,900,Gombak,USJ 20,2022/SELANGOR
Saujana Rawang,190,1200 - 1400,1100 - 1600,Gombak,USJ 20,2022/SELANGOR
Setia Eco Templer,222,1800 - 2000,1800 - 2300,Gombak,USJ 20,2022/SELANGOR
Sunway Batu Caves,150,1600,1600,Gombak,USJ 20,2022/SELANGOR
Taman Anggun,178,,1350 - 2000,Gombak,USJ 20,2022/SELANGOR
Taman Bukit Rawang Jaya ,104,900,900,Gombak,USJ 20,2022/SELANGOR
Taman Cassia,154.24,950,950,Gombak,USJ 20,2022/SELANGOR
Taman Desa Bukit Indah,126.47,1100,1100 - 1200,Gombak,USJ 20,2022/SELANGOR
Taman Desa Jaya,130,,1650,Gombak,USJ 20,2022/SELANGOR
Taman Desa Mas,96,,1400,Gombak,USJ 20,2022/SELANGOR
Taman Rawang Perdana,95,850 - 1000,800 - 1000,Gombak,USJ 20,2022/SELANGOR
Taman Samudra,130,,2300,Gombak,USJ 20,2022/SELANGOR
Taman Selayang Baru,140,,1800 - 2000,Gombak,USJ 20,2022/SELANGOR
Taman Selayang Jaya,156.59,,1500,Gombak,USJ 20,2022/SELANGOR
Taman Sri Gombak,100,1150 - 1500,1200 - 1500,Gombak,USJ 20,2022/SELANGOR
,162,,1200 - 2200,Gombak,USJ 20,2022/SELANGOR
Taman Sri Putra      ,157,,1500,Gombak,USJ 20,2022/SELANGOR
Taman Sri Putra Mas,160,1300,1300,Gombak,USJ 20,2022/SELANGOR
Taman Tun Perak,147,,1300,Gombak,USJ 20,2022/SELANGOR
Ukay Bistari,146,1700,1600 - 2000,Gombak,USJ 20,2022/SELANGOR
Zoo View,170,,2000,Gombak,USJ 20,2022/SELANGOR
Alamanda Parkland,134,1000,950,Hulu Selangor,USJ 20,2022/SELANGOR
,167,,1300,Hulu Selangor,USJ 20,2022/SELANGOR
Bandar Sungai Buaya,140,,900 - 950,Hulu Selangor,USJ 20,2022/SELANGOR
Bandar Utama Batang Kali                ,147,900-1050,1000,Hulu Selangor,USJ 20,2022/SELANGOR
Bukit Beruntung (ADENIUM),100,1000 - 1350,1000 - 1350,Hulu Selangor,USJ 20,2022/SELANGOR
Bukit Sentosa,105,900,900,Hulu Selangor,USJ 20,2022/SELANGOR
,120,800,700 - 850,Hulu Selangor,USJ 20,2022/SELANGOR
,140,1300,1300,Hulu Selangor,USJ 20,2022/SELANGOR
Taman Sri Kelah,192,1000,1000,Hulu Selangor,USJ 20,2022/SELANGOR
Bandar Damai Perdana                       ,192,1550 - 2000,1550 - 2000,Hulu Langat,USJ 20,2022/SELANGOR
Bandar Rincing                             ,152,800,800,Hulu Langat,USJ 20,2022/SELANGOR
Bandar Seri Putra,146,1800,1800,Hulu Langat,USJ 20,2022/SELANGOR
Bandar Sungai Long,178,1600,1600,Hulu Langat,USJ 20,2022/SELANGOR
Bandar Sunway Semenyih,130,950,950,Hulu Langat,USJ 20,2022/SELANGOR
Bandar Tasik Kesuma                        ,125,750 - 800,750 - 800,Hulu Langat,USJ 20,2022/SELANGOR
Bandar Tun Hussein Onn,149,1400 - 1650,1400 - 1650,Hulu Langat,USJ 20,2022/SELANGOR
Desa Bunga Raya,139,2000,2000,Hulu Langat,USJ 20,2022/SELANGOR
"Desa Dahlia, Sungai Ramal Dalam",134,650,650,Hulu Langat,USJ 20,2022/SELANGOR
Eco Majestic                            ,197,1100 - 1600,1100 - 1600,Hulu Langat,USJ 20,2022/SELANGOR
"Seksyen 3, Bangi Perdana",164,1300,1300,Hulu Langat,USJ 20,2022/SELANGOR
"Seksyen 3, Bandar Baru Bangi",133,1100 - 1300,1100 - 1300,Hulu Langat,USJ 20,2022/SELANGOR
"Seksyen 4, Bandar Baru Bangi",134,2000,2000,Hulu Langat,USJ 20,2022/SELANGOR
"Seksyen 7, Bandar Baru Bangi",146,1200,1200,Hulu Langat,USJ 20,2022/SELANGOR
"Seksyen 8, Bandar Baru Bangi",121,1250,1250,Hulu Langat,USJ 20,2022/SELANGOR
Semenyih Parklands                      ,161,1000,1000,Hulu Langat,USJ 20,2022/SELANGOR
Serene Heights                          ,191,1000,1000,Hulu Langat,USJ 20,2022/SELANGOR
Seri Bangi,167,1800,1800,Hulu Langat,USJ 20,2022/SELANGOR
Setia Ecohill                           ,166,1000 - 1500,1000 - 1500,Hulu Langat,USJ 20,2022/SELANGOR
Taman Alam Sari,173,2800,2800,Hulu Langat,USJ 20,2022/SELANGOR
Taman Bangi Avenue,190,1350,1350,Hulu Langat,USJ 20,2022/SELANGOR
Taman Bayu Sekamat,158,1400,1400,Hulu Langat,USJ 20,2022/SELANGOR
Taman Bukit Belimbing,139,2200,2200,Hulu Langat,USJ 20,2022/SELANGOR
Taman Bukit Mewah                           ,173,1200,1200,Hulu Langat,USJ 20,2022/SELANGOR
Taman Cheras Perdana,123,1000,1000,Hulu Langat,USJ 20,2022/SELANGOR
Taman Cheras Prima                        ,142,900,900,Hulu Langat,USJ 20,2022/SELANGOR
"Taman Dagang, Ampang",171,1700 - 2300,1700 - 2300,Hulu Langat,USJ 20,2022/SELANGOR
"Taman Harmoni, Semenyih",144,850,850,Hulu Langat,USJ 20,2022/SELANGOR
Taman Impian Putra,121,1100,1100,Hulu Langat,USJ 20,2022/SELANGOR
Taman Kajang East (Semenyih)              ,194,1200,1200,Hulu Langat,USJ 20,2022/SELANGOR
Taman Kajang Perdana,142,1100,1100,Hulu Langat,USJ 20,2022/SELANGOR
