Store,Address,state
99 SPEEDMART SDN BHD (BANDAR BARU KUNDANG) - 1539,"NO: 43-B & 43-C, JALAN PEKAN 2 KAMPUNG BARU KUNDANG BANDAR SETIA ALAM 48020 RAWANG SELANGOR",SELANGOR
PASARAYA AL-NAIM SDN. BHD.,"BANGUNAN SERBAGUNA BINTONG, HADAPAN MASMUDA, TAMAN NIAGA BINTONG, JALAN TELUK JAMBUL, 01000 KANGAR PERLIS 01000 KANGAR PERLIS",PERLIS
ECO-SHOP SUNGAI SIPUT,"NO. 777 & 778 GROUND & FIRST FLOOR, KAMPUNG MUHIBBAH FASA 2B, 31100 SUNGAI SIPUT PERAK",PERAK
BEE GAR TRADING SDN BHD (JALAN KLINIK),"PT 281 282 283, JALAN KLINIK 17500 TANAH MERAH KELANTAN",KELANTAN
THE STORE (JALAN BESAR BANTING),"LOT 1256, JALAN BESAR 42700 BANTING SELANGOR",SELANGOR
99 SPEEDMART SDN BHD (TAMAN SEJAHTERA) – 3147,"NO: 13 & 14 (GROUND FLOOR) JALAN SEJAHTERA 1, TAMAN SEJAHTERA, 08200 SIK KEDAH",KEDAH
PASARAYA HOME U (GERONG),"LOT 1955, CABANG TIGA GERONG PALEKBANG GERONG 16040 TUMPAT KELANTAN",KELANTAN
KIM SOON MINI MART SDN BHD (TMN BUKIT KEMPAS),"114, JALAN BUKIT KEMPAS 1/18, TAMAN BUKIT KEMPAS 81200 JOHOR BAHRU JOHOR",JOHOR
99 SPEEDMART SDN BHD (TMN MUTIARA ) - 2043,"NO: 7 & 9 (GROUND FLOOR), JALAN MUTIARA, TAMAN MUTIARA, 83500 PARIT SULONG JOHOR",JOHOR
ECO-SHOP HUTAN MELINTANG,"NO. 1 GRD, 1ST, 2ND & 3RD FRL LORONG AGENDA 1 MEDANIAGA LAGENDA 36400 HUTAN MELINTANG PERAK",PERAK
99 SPEEDMART SDN BHD (KIABURI PLAZA) - SBH 15717,GROUND FLOOR LOT NO. N4 & N5 KIABURI PLAZA JALAN TAMBUNAN RANAU 89308 RANAU SABAH,SABAH
99 SPEEDMART SDN BHD (TMN PEGAGA)-2780,NO: 72 (GROUND FLOOR) JALAN PEGAGA TAMAN PEGAGA 09600 LUNAS KEDAH,KEDAH
GIANT HYPERMARKET GHBK (BANDAR KINRARA),"LOT 449, JALAN BK 5A/1 BANDAR KINRARA 47100 PUCHONG SELANGOR",SELANGOR
99 SPEEDMART SDN BHD (KAMPUNG KILUGUS) - SBH 28722,NT SERIAL NO. 184927044 KAMPUNG KILUGUS JALAN BEAUFORT-MENUMBOK 89740 KUALA PENYU SABAH,SABAH
